ln_a,Q,H,Q_prime,H_prime,D_s,Xi_s,W_s,scaled_constraint_residual
1.208857173821874069e-02,1.152965851277781839e+00,1.229857164349147158e+00,-6.730128277917565849e-02,-5.369851562920316956e-01,2.463864623322318792e+01,2.552013254027690792e+01,1.575864259723269711e+00,1.099082202508957221e-15
1.237639487484299555e-02,1.152946482619857438e+00,1.229702663757901604e+00,-6.728593977135473303e-02,-5.365949543085022366e-01,2.462020696015910204e+01,2.550172046467027798e+01,1.575556471465913599e+00,4.004240718672968354e-15
1.266421801146725215e-02,1.152927118375911331e+00,1.229548275438739457e+00,-6.727061132102471475e-02,-5.362050099331353570e-01,2.460177789203329723e+01,2.548331856580417210e+01,1.575248919173136031e+00,1.401638629117533534e-14
1.295204114809150875e-02,1.152907758541756422e+00,1.229393999317533570e+00,-6.725529742639062281e-02,-5.358153230453271965e-01,2.458335902354175317e+01,2.546492683840347837e+01,1.574941602683858743e+00,4.947504497421840064e-15
1.323986428471576361e-02,1.152888403113195404e+00,1.229239835320186991e+00,-6.723999808567372727e-02,-5.354258935244875506e-01,2.456495034938011912e+01,2.544654527719272963e+01,1.574634521837085854e+00,2.316943530307788569e-15
1.352768742134001848e-02,1.152869052086048063e+00,1.229085783372644514e+00,-6.722471329712456645e-02,-5.350367212500508618e-01,2.454655186423877566e+01,2.542817387689116515e+01,1.574327676471911186e+00,6.480300436864724325e-15
1.381551055796427507e-02,1.152849705456121310e+00,1.228931843400880020e+00,-6.720944305897388893e-02,-5.346478061014503513e-01,2.452816356282160370e+01,2.540981263223148190e+01,1.574021066427516935e+00,1.217644816064465281e-14
1.410333369458853167e-02,1.152830363219226273e+00,1.228778015330903362e+00,-6.719418736947269100e-02,-5.342591479581386693e-01,2.450978543983065094e+01,2.539146153794452232e+01,1.573714691543170563e+00,6.756706981223898612e-15
1.439115683121278653e-02,1.152811025371181630e+00,1.228624299088762806e+00,-6.717894622689968287e-02,-5.338707466995895601e-01,2.449141748996331103e+01,2.537312058875644283e+01,1.573408551658228127e+00,1.178624801074384952e-16
1.467897996783704140e-02,1.152791691907795846e+00,1.228470694600535928e+00,-6.716371962953768260e-02,-5.334826022052867600e-01,2.447305970792134744e+01,2.535478977939774481e+01,1.573102646612127842e+00,1.795635478051051914e-14
1.496680310446129800e-02,1.152772362824884711e+00,1.228317201792337832e+00,-6.714850757564957973e-02,-5.330947143547170031e-01,2.445471208842003819e+01,2.533646910461240509e+01,1.572796976244402511e+00,8.370072352246894686e-15
1.525462624108555459e-02,1.152753038118260687e+00,1.228163820590317812e+00,-6.713331006356137998e-02,-5.327070830274008850e-01,2.443637462615657441e+01,2.531815855912629587e+01,1.572491540394664877e+00,1.285123800846478173e-14
1.554244937770980946e-02,1.152733717783741119e+00,1.228010550920660693e+00,-6.711812709157917445e-02,-5.323197081028625544e-01,2.441804731584163335e+01,2.529985813767874347e+01,1.572186338902617386e+00,1.639007154032168153e-14
1.583027251433406432e-02,1.152714401817138690e+00,1.227857392709584161e+00,-6.710295865803313220e-02,-5.319325894606437011e-01,2.439973015218268415e+01,2.528156783500583060e+01,1.571881371608047528e+00,7.232861876994482756e-15
1.611809565095832092e-02,1.152695090214270301e+00,1.227704345883341430e+00,-6.708780476123181458e-02,-5.315457269802895679e-01,2.438142312990137839e+01,2.526328764585779041e+01,1.571576638350834720e+00,5.779060115823787382e-15
