ln_a,zeta_obs,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,zeta,u,delta_b,delta_gamma,delta_nu,vartheta_b,vartheta_gamma,vartheta_nu,alpha
1.266421801146725146e-01,-1.701396627065116884e-09,-1.989967065206239914e-04,-1.977425058009900080e-06,9.969589260783635609e-01,8.197011020126632273e-04,8.197011020126632273e-04,-1.701396627065116884e-09,-1.979126454636965245e-06,9.969648634577275015e-01,8.276176078312110374e-04,8.276176078312110374e-04,-2.740834370762914224e-09,-3.647413724192754871e-06,-3.647413724192754871e-06,2.660322869953621687e-07
1.289447652076665674e-01,-1.310128457494130231e-09,-2.018569650002578297e-04,-1.513942419882600552e-06,9.964701056722746753e-01,1.422447781258290994e-03,1.422447781258290994e-03,-1.310128457494130231e-09,-1.515252548340094684e-06,9.964746514299196445e-01,1.428508791451651386e-03,1.428508791451651386e-03,-2.115310854017456249e-09,-2.999109719922869084e-06,-2.999109719922869084e-06,2.751926053153441105e-07
1.312473503006606201e-01,-9.081852590111854239e-10,-2.027674508177428015e-04,-1.046498613910966576e-06,9.961131573789582250e-01,1.894295763543789660e-03,1.894295763543789660e-03,-9.081852590111854239e-10,-1.047406799169977823e-06,9.961162995993557701e-01,1.898485390740469597e-03,1.898485390740469597e-03,-1.472262662785106680e-09,-2.035780850088119215e-06,-2.035780850088119215e-06,2.817006506002599202e-07
1.335499353936546729e-01,-4.994584887952469491e-10,-2.018168277773168596e-04,-5.794795997733209897e-07,9.958877602033636700e-01,2.137190445693306230e-03,2.137190445693306230e-03,-4.994584887952469491e-10,-5.799790582621162582e-07,9.958895001405384528e-01,2.139510361926354621e-03,2.139510361926354621e-03,-8.177420868428512784e-10,-8.624478385008892169e-07,-8.624478385008892169e-07,2.856083093205727824e-07
1.358525204866486980e-01,-8.771054936606578189e-11,-1.990826048373513756e-04,-1.170751055385325545e-07,9.957923976547994327e-01,2.100324134379051490e-03,2.100324134379051490e-03,-8.771054936606578189e-11,-1.171628160878986166e-07,9.957927491432476685e-01,2.100792785643402962e-03,2.100792785643402962e-03,-1.576896455187268449e-10,3.720753478495542364e-07,3.720753478495542364e-07,2.869545418551951886e-07
1.381551055796427507e-01,3.234100430750027700e-10,-1.946260843759216850e-04,3.366882886973090902e-07,9.958244224347525542e-01,1.790351714881698465e-03,1.790351714881698465e-03,3.234100430750027700e-10,3.370116987403840779e-07,9.958234113996563552e-01,1.789003668086736921e-03,1.789003668086736921e-03,5.020250862797153028e-10,1.505829928257994571e-06,1.505829928257994571e-06,2.857575332490927329e-07
1.404576906726368035e-01,7.303355164151674341e-10,-1.884943320608484512e-04,7.779106074880211433e-07,9.959801103289374069e-01,1.269454926740461002e-03,1.269454926740461002e-03,7.303355164151674341e-10,7.786409430044363572e-07,9.959777744061083515e-01,1.266340362968443193e-03,1.266340362968443193e-03,1.155555977433893182e-09,2.396827066366848488e-06,2.396827066366848488e-06,2.820167312321689055e-07
1.427602757656308285e-01,1.129542542047199175e-09,-1.807282048399952348e-04,1.202793810509684437e-06,9.962547047400184264e-01,6.418585393526616330e-04,6.418585393526616330e-04,1.129542542047199175e-09,1.203923353051731621e-06,9.962510929699592843e-01,6.370428459404547201e-04,6.370428459404547201e-04,1.797048239394059731e-09,2.951682931759232545e-06,2.951682931759232545e-06,2.757238276732071179e-07
1.450628608586248813e-01,1.517527427142497707e-09,-1.713742474572070855e-04,1.607640606334936510e-06,9.966424570268586081e-01,3.179437793536184670e-05,3.179437793536184670e-05,1.517527427142497707e-09,1.609158133762078979e-06,9.966376295524572715e-01,2.535774540031352994e-05,2.535774540031352994e-05,2.420639376625798094e-09,3.143875364210430595e-06,3.143875364210430595e-06,2.668798819726039505e-07
1.473654459516189341e-01,1.890804226813562296e-09,-1.604975559922508337e-04,1.988882372022119982e-06,9.971366700891295398e-01,-4.423741976905307648e-04,-4.423741976905307648e-04,1.890804226813562296e-09,1.990773176248933413e-06,9.971306977696008378e-01,-4.503372903955265086e-04,-4.503372903955265086e-04,3.020502844558224155e-09,3.017976626986246061e-06,3.017976626986246061e-06,2.555145839125524725e-07
