ln_a,a,Q,H_over_Hd,Q_prime,H_prime_over_Hd,D_over_Hd2,Xi_over_Hd2,Bq_over_Hd,Sigma_A,friedmann_scaled_residual,current_scaled_residual
-28.888816336618575,2.842801109640051e-13,4.002565843516687,7.500656006748484e+18,-0.3749999999999997,-1.1613678838173385e+19,3.4821747186632566e+38,3.4821747186632566e+38,0.0,0.0625,6.234311063152993e-16,6.509541005017658e-16
-28.819914384688182,3.045581416257041e-13,3.9767276115427888,6.741582210632476e+18,-0.3750000000000004,-1.0440549883855368e+19,2.8319093381973427e+38,2.8319093381973427e+38,0.0,0.0625,-1.0063886709360117e-15,-9.338311769861871e-16
-28.75101243275779,3.2628262777851154e-13,3.9508893795688924,6.059191095106256e+18,-0.3750000000000003,-9.385736792023665e+18,2.303075275570337e+38,2.303075275570337e+38,0.0,0.0625,-4.670885207497938e-16,-8.201844781995131e-16
-28.682110480827397,3.4955674677345643e-13,3.925051147594996,5.44574823962357e+18,-0.3750000000000004,-8.437323452496084e+18,1.8729963044366928e+38,1.8729963044366928e+38,0.0,0.0625,-8.607603337060071e-16,-8.068127368637647e-16
-28.613208528897008,3.74491035721912e-13,3.8992129156210997,4.894298244656157e+18,-0.3750000000000004,-7.58459237609289e+18,1.523230783485682e+38,1.523230783485682e+38,0.0,0.0625,-9.620605352817878e-16,-9.920737493633312e-16
-28.544306576966616,4.0120391647585925e-13,3.8733746836472016,4.398586366448083e+18,-0.37500000000000033,-6.817904263868674e+18,1.2387808850782471e+38,1.2387808850782471e+38,0.0,0.0625,-9.891035133324222e-16,-9.14905912369745e-16
-28.475404625036226,4.2982225805558687e-13,3.847536451673307,3.9529880259175747e+18,-0.37500000000000033,-6.12858966411562e+18,1.0074494934534084e+38,1.0074494934534084e+38,0.0,0.0625,-1.1573834482289484e-15,-9.374894748682577e-16
-28.406502673105834,4.604819791960344e-13,3.821698219699409,3.552445401327967e+18,-0.3750000000000003,-5.508851505012802e+18,8.193171965156625e+37,8.193171965156625e+37,0.0,0.0625,-8.4834744124917755e-16,-8.069296121372344e-16
-28.33760072117544,4.933286938734441e-13,3.795859987725511,3.192410393611834e+18,-0.3750000000000004,-4.951677412242609e+18,6.663169447881899e+37,6.663169447881899e+37,0.0,0.0625,-9.382200534333413e-16,-8.504721099723728e-16
-28.26869876924505,5.28518402878195e-13,3.7700217557516145,2.868793324548556e+18,-0.37500000000000033,-4.4507608301769585e+18,5.418881390504132e+37,5.418881390504132e+37,0.0,0.0625,-6.703539675004323e-16,-8.714651867348415e-16
-28.199796817314656,5.662182347183241e-13,3.744183523777718,2.5779167921702497e+18,-0.3750000000000003,-4.0004300635834906e+18,4.406953140548807e+37,4.406953140548807e+37,0.0,0.0625,-9.158283972413568e-16,-8.572573988897108e-16
-28.130894865384267,6.066072393725556e-13,3.718345291803822,2.316474165511537e+18,-0.37500000000000044,-3.5955844452973604e+18,3.5839935557597034e+37,3.5839935557597034e+37,0.0,0.0625,-9.656266822212876e-16,-1.054101556690692e-15
-28.061992913453874,6.498772386626668e-13,3.6925070598299237,2.0814922527731412e+18,-0.37500000000000033,-3.231636914939577e+18,2.9147144065451276e+37,2.9147144065451276e+37,0.0,0.0625,-9.433672731647032e-16,-9.721089254436754e-16
-27.99309096152348,6.962337372838822e-13,3.6666688278560273,1.8702977237168443e+18,-0.37500000000000033,-2.904462365423729e+18,2.370417228588187e+37,2.370417228588187e+37,0.0,0.0625,-8.557438063388858e-16,-7.968835909418813e-16
-27.924189009593093,7.458968988201415e-13,3.640830595882131,1.6804869091700426e+18,-0.37500000000000033,-2.6103511784755057e+18,1.9277627423703145e+37,1.9277627423703145e+37,0.0,0.0625,-9.54578190616952e-16,-8.573815816007059e-16
-27.8552870576627,7.991025913796754e-13,3.614992363908233,1.5098986383632768e+18,-0.3750000000000003,-2.345967428414961e+18,1.5677700727329178e+37,1.5677700727329178e+37,0.0,0.0625,-4.947360488135637e-16,-7.530387530994372e-16
-27.786385105732307,8.561035078169563e-13,3.5891541319343365,1.3565898088739587e+18,-0.3750000000000004,-2.1083112856629545e+18,1.2750028553487112e+37,1.2750028553487112e+37,0.0,0.0625,-8.384550621256771e-16,-9.2595213866758e-16
-27.717483153801915,9.171703658614096e-13,3.56331589996044,1.2188134145857943e+18,-0.3750000000000003,-1.8946851984151096e+18,1.036907330622522e+37,1.036907330622522e+37,0.0,0.0625,-1.0504398461984751e-15,-9.108560318566755e-16
-27.648581201871522,9.82593193852687e-13,3.537477667986542,1.0949987846377015e+18,-0.3750000000000003,-1.7026634732018918e+18,8.432740427115746e+36,8.432740427115746e+36,0.0,0.0625,-8.162650741641798e-16,-8.400056642947388e-16
-27.579679249941133,1.0526827081889302e-12,3.5116394360126457,9.837338111354216e+17,-0.37500000000000033,-1.5300649130918387e+18,6.858000615003918e+36,6.858000615003918e+36,0.0,0.0625,-5.453712990843807e-16,-8.607403870265881e-16
-27.51077729801074,1.1277717890300387e-12,3.4858012040387494,8.83748965711463e+17,-0.37500000000000033,-1.3749282065224591e+18,5.577329557561226e+36,5.577329557561226e+36,0.0,0.0625,-7.287054535899678e-16,-8.46707449171171e-16
-27.441875346080348,1.2082170612645282e-12,3.4599629720648513,7.93902925093519e+17,-0.37500000000000033,-1.2354897905409044e+18,4.5358125115344396e+36,4.5358125115344396e+36,0.0,0.0625,-5.736050930624251e-16,-7.8084683904936555e-16
-27.37297339414996,1.294400588248626e-12,3.434124740090955,7.131696439017633e+17,-0.3750000000000003,-1.1101639399468166e+18,3.6887895770657627e+36,3.6887895770657627e+36,0.0,0.0625,-4.951065720084318e-16,-8.001212837250726e-16
-27.304071442219566,1.3867316863617484e-12,3.4082865081170586,6.406267291440403e+17,-0.37500000000000033,-9.975248587630414e+17,2.9999406962405024e+36,2.9999406962405024e+36,0.0,0.0625,-9.309377878907245e-16,-9.838457991827276e-16
-27.235169490289174,1.4856488689962861e-12,3.3824482761431622,5.75444985496347e+17,-0.3750000000000004,-8.962905728939973e+17,2.439728261246794e+36,2.439728261246794e+36,0.0,0.0625,-9.567332561775862e-16,-9.678058326988292e-16
-27.16626753835878,1.5916219292144864e-12,3.356610044169264,5.1687901360712794e+17,-0.37500000000000033,-8.053084430160253e+17,1.9841305517090906e+36,1.9841305517090906e+36,0.0,0.0625,-9.472719867664506e-16,-8.9252566044644e-16
-27.097365586428392,1.7051541709636418e-12,3.3307718121953678,4.6425875549556883e+17,-0.37500000000000033,-7.235421349054243e+17,1.613611691415844e+36,1.613611691415844e+36,0.0,0.0625,-7.619540545982599e-16,-9.145567881959836e-16
-27.028463634498,1.826784799446486e-12,3.3049335802214714,4.169818917579528e+17,-0.37500000000000033,-6.500599007498118e+17,1.3122839565325423e+36,1.3122839565325423e+36,0.0,0.0625,-9.910260908419163e-16,-7.871906556392599e-16
-26.959561682567607,1.957091481999427e-12,3.279095348247573,3.745070048718676e+17,-0.3750000000000017,-5.840240396902438e+17,1.0672265153592474e+36,1.0672265153592474e+36,0.0,0.0625,-4.6650074461873076e-15,-4.563174139109532e-15
-26.890659730637218,2.096693091641254e-12,3.2532571162736774,3.3634743150223904e+17,-0.37499999999999906,-5.2468141906850304e+17,8.679313874227235e+35,8.679313874227235e+35,0.0,0.0625,2.3322986231821654e-15,2.5504427203840873e-15
-26.821757778706825,2.2462526463223667e-12,3.2274188842997806,3.020657344626034e+17,-0.3750000000000004,-4.713549497545494e+17,7.05852864815629e+35,7.05852864815629e+35,0.0,0.0625,-9.797958040849159e-16,-1.045359167226891e-15
-26.752855826776432,2.406480457834002e-12,3.2015806523258843,2.7126873195647197e+17,-0.37500000000000033,-4.2343591963596864e+17,5.740410751221881e+35,5.740410751221881e+35,0.0,0.0625,-1.1743516661612472e-15,-8.997767867986188e-16
-26.68395387484604,2.5781375053328903e-12,3.175742420351986,2.4360302799470675e+17,-0.3750000000000004,-3.803770989839314e+17,4.668439732315959e+35,4.668439732315959e+35,0.0,0.0625,-1.0327157203323447e-15,-9.48329384450251e-16
-26.615051922915647,2.762039049503302e-12,3.149904188378088,2.1875099352639622e+17,-0.3750000000000004,-3.4168654007647315e+17,3.796649835489081e+35,3.796649835489081e+35,0.0,0.0625,-1.0720292598412125e-15,-9.717379728453805e-16
