index,Q_exact,Q_approx,a_approx,H_over_sqrt_kappa_approx,Qdot_over_sqrt_kappa_approx,sqrt_kappa_dNT_dH_approx
37,101/100 + 37/20000,1.01185,4.386152409179827206322896811606985305548508483335021432656488034021354204559366521964,-0.06303716030047032725274391817780547230392102875321035445797221615560111504780341966827,0.002240656365924636624989552839433155561702767636360661628421402292176373083090520772961,0.3650127204857683874660234484433277123216476711946116250918366701207768618676612321409
38,101/100 + 38/20000,1.0119,4.379999847701223484510743394418883375673278637578204943772950825004907797833752888748,-0.06317081390934792722477831684220369159537674179173408820549831020387918239148888213251,0.002254878697966931013393503370655777316562774161540443898463250806297712234858794115091,0.36573176170253652815086507256142190283696083099739864784468211972094035065872459926
39,101/100 + 39/20000,1.01195,4.37388165208482936602200613605719517995355141098406470058101280935725329085344763274,-0.06330419215831446715191861220452039502666924484953196861398481952432061145837397634031,0.002269131204986683993290499939936402965256060393591792208202570031313128054463584479276,0.366448984937447036814342632438644002667328459529218002085623487004214344350557301545
40,101/100 + 40/20000,1.012,4.367797487735393086224714698452237857958694830794397872737380188770987637077855965201,-0.06343729678524150469677212105667969542378271183922367744413263290723090999445872048574,0.00228341382532215947712344829136491120771510073663387785244490440109132167476310266348,0.3671644010166918375038754047795457465390836694694220170861814135791195769210814512625
41,101/100 + 41/20000,1.01205,4.361747024691988890339349250986111657716342500985599590126012086433649615490661290826,-0.0635701295098973443229670105179580331451344240704753564843220972186140078020493374302,0.00229772649769924368185588056965717077127933403696690311780235439518042828535716979206,0.3678780206554387860642196948852438101406834348199532780111629679986179298268067815438
42,101/100 + 42/20000,1.0121,4.35572993754491821843058156222975834098130819436956971799711821349266477224006023502,-0.06370269203420980749422875055744231184155473808569934057647304342591634857367981829629,0.002312069161227407561758180795096457040670211982850812544097498484876909473847390793778,0.3685898544594329745638934467734420729732517035495294174815792766897705726205438652622
43,101/100 + 43/20000,1.01215,4.349745905354437250266719806742813014872351459088389800756118063551589356303330760979,-0.06383498604252412028064255810055247998376226526198952055944649950148317615514732648431,0.002326441755395727755486734835027727798839169681454135417542269124656753397683851990393,0.369299912926568384426771833748827302023832854026433605721210489352672980502149228955
44,101/100 + 44/20000,1.0122,4.343794611571263339333753018798161033259725829794222573288339950297677752262407210498,-0.06396701320185602879102728677213550909885306669829973560793023902647555277378428997964,0.002340844220068964962153094307910267806858243838727396400715334181642977988781845501289,0.3700082064484305573608966496796595161871556362726248780852249528979408715503530828718
45,101/100 + 45/20000,1.01225,4.337875743958814288130280914119680253835303548690231633226815602939895891452412659467,-0.06409877516214024991145989589847065380589668464390909009840063667016796686273823199803,0.002355276495483698685577627736208207816087815194770611970778364644355066129496250293572,0.3707147453118109353950120875255185761072700539997604774453724565885556196281532643481
46,101/100 + 46/20000,1.0123,4.331988994517135791444010642916709664040211632107644331236392812399904954028334039984,-0.06423027355647436198098727017612893385057275588465082865192612953574526355572726246885,0.002369738522244517309768760847983685131523891550826041169655391108406327844162264518529,0.3714195397001935040950451149946468449032500342343780709631495144127874605143888560406
47,101/100 + 47/20000,1.01235,4.326134059408473702446164682538586101016231394936654955197126328073049568165873324809,-0.06436151000135823727334088675006530545573411851635226326730712107991239699004090217467,0.002384230241320262491884645271923374137377770750758114601028080176154363858207000129896,0.3721225996952143563189529997562751608999257645975810959604132158530040625246434945812
48,101/100 + 48/20000,1.0124,4.320310638884449059887136859136312318112323711555367075489486263935041452758338289903,-0.06449248609692911547504599832046777157552824655972796312682145834003045643343697332936,0.002398751594040326881538120655216895811976113512119174144013852111740574672636954571845,0.3728239352780947776610459669916341598598844388813508353167696721168710144981228687849
49,101/100 + 49/20000,1.01245,4.314518437214795055112395165358381376009965469162639316025932535037563284469834807392,-0.06462320342719241475282116468175551997661338285352051472248808625482702448354493035768,0.00241330252209100419731667100339125856582356356273603185729759479525211355306443837522,0.373523556331048439018730947281260664719382194987886612819215959855867074214112368137
50,101/100 + 50/20000,1.0125,4.308757162617616316649876089507448788671830281083651797536883004402868339410601928614,-0.06475366356024837448383604193515170772514321702111317220913932607728096862626362880029,0.002427882967511890712824610345759975260155418627254510872849311802159302255309341566561,0.3742214726386632664689444233048524510346830018836799096117339258976330794474487623405
51,101/100 + 51/20000,1.01255,4.303026527191132049290576632538972948839490296339471370516603165648770247916192186974,-0.0648838680485146212785800359323526793573324959707282890980016482964922138707471319943,0.002442492872692337225432245305216158135826368466754454478881646834489334544559573092352,0.3749176938892585438523124311140780990298974601106101221820993594330809612761544888094
52,101/100 + 52/20000,1.0126,4.297326246846865685371058699696672496062774979407934795817222492902326013638554320715,-0.06501381842894474755523685857543581177516349558135372579838394537131639944141320185272,0.002457132180367950601252946590692844597138933469617259697057120130786441621643871980908,0.3756122296762177891148637128257953365462574334020394131261012797281053943905395367637
